row_id,order_id,product_id,sales,quantity,discount,profit,profit_margin,is_loss,sales_per_unit
849,CA-2017-107503,FUR-FU-10003878,48.896,4,0.2,8.5568,0.175,FALSE,12.224
4010,CA-2017-144463,FUR-FU-10001215,474.43,11,0,199.2606,0.42,FALSE,43.13
6683,CA-2017-154466,OFF-BI-10002012,3.6,2,0,1.728,0.48,FALSE,1.8
8070,CA-2017-151750,OFF-ST-10002743,454.56,5,0.2,-107.958,-0.2375,TRUE,90.912
8071,CA-2017-151750,FUR-FU-10002116,141.42,5,0.6,-187.3815,-1.325,TRUE,28.284
8072,CA-2017-151750,FUR-CH-10003199,310.744,4,0.3,-26.6352,-0.085714286,TRUE,77.686
8073,CA-2017-151750,OFF-AR-10003158,12.736,4,0.2,2.2288,0.175,FALSE,3.184
8074,CA-2017-151750,OFF-BI-10000301,6.47,5,0.8,-9.705,-1.5,TRUE,1.294
8075,CA-2017-151750,OFF-BI-10000343,13.748,14,0.8,-22.6842,-1.65,TRUE,0.982
8076,CA-2017-151750,OFF-AP-10004708,15.224,2,0.8,-38.8212,-2.55,TRUE,7.612
1341,CA-2017-113481,TEC-MA-10002178,695.7,2,0.5,-27.828,-0.04,TRUE,347.85
1342,CA-2017-113481,OFF-BI-10003694,15.66,5,0.7,-12.528,-0.8,TRUE,3.132
1343,CA-2017-113481,OFF-BI-10000474,28.854,6,0.7,-21.1596,-0.733333333,TRUE,4.809
8361,CA-2017-147207,OFF-AR-10001955,31.744,2,0.2,3.968,0.125,FALSE,15.872
8362,CA-2017-147207,OFF-AP-10000027,5.432,2,0.8,-13.58,-2.5,TRUE,2.716
8363,CA-2017-147207,FUR-TA-10002958,913.43,5,0.3,-169.637,-0.185714286,TRUE,182.686
8364,CA-2017-147207,OFF-ST-10002615,372.144,3,0.2,27.9108,0.075,FALSE,124.048
9686,CA-2017-118668,TEC-AC-10000682,16.59,1,0,5.8065,0.35,FALSE,16.59
5258,US-2017-114034,OFF-PA-10004735,38.88,6,0,18.6624,0.48,FALSE,6.48
9491,CA-2017-111738,OFF-BI-10004584,2022.272,8,0.2,682.5168,0.3375,FALSE,252.784
9492,CA-2017-111738,OFF-AR-10000817,9.12,3,0,3.1008,0.34,FALSE,3.04
4937,CA-2017-150931,OFF-BI-10004728,33.74,7,0,15.5204,0.46,FALSE,4.82
978,CA-2017-159366,TEC-MA-10000822,3059.982,2,0.1,679.996,0.222222222,FALSE,1529.991
2121,US-2017-168690,OFF-BI-10000145,2.808,3,0.7,-1.9656,-0.7,TRUE,0.936
7372,US-2017-123862,OFF-ST-10000760,153.78,11,0,44.5962,0.29,FALSE,13.98
7373,US-2017-123862,OFF-ST-10002301,61.02,3,0,0.6102,0.01,FALSE,20.34
7374,US-2017-123862,OFF-SU-10004884,110.11,7,0,31.9319,0.29,FALSE,15.73
7375,US-2017-123862,OFF-FA-10003112,7.89,1,0,3.5505,0.45,FALSE,7.89
2290,CA-2017-115154,FUR-TA-10001950,892.98,2,0,80.3682,0.09,FALSE,446.49
7221,CA-2017-154760,OFF-BI-10004632,274.491,3,0.7,-228.7425,-0.833333333,TRUE,91.497
1846,US-2017-158512,OFF-PA-10001804,40.08,6,0,19.2384,0.48,FALSE,6.68
1847,US-2017-158512,FUR-FU-10004973,37.68,2,0,15.8256,0.42,FALSE,18.84
5900,CA-2017-108000,OFF-EN-10002621,9.78,1,0,4.89,0.5,FALSE,9.78
8641,US-2017-148551,OFF-BI-10000545,760.98,5,0.8,-1141.47,-1.5,TRUE,152.196
6619,US-2017-167402,OFF-PA-10004983,32.4,5,0,15.552,0.48,FALSE,6.48
6620,US-2017-167402,OFF-AR-10004010,209.94,6,0,54.5844,0.26,FALSE,34.99
6621,US-2017-167402,OFF-SU-10002881,4164.05,5,0,83.281,0.02,FALSE,832.81
6622,US-2017-167402,FUR-BO-10001608,212.94,3,0,53.235,0.25,FALSE,70.98
1183,CA-2017-138779,OFF-EN-10002504,21.744,1,0.2,7.3386,0.3375,FALSE,21.744
1184,CA-2017-138779,TEC-PH-10003655,7.92,5,0.2,0.693,0.0875,FALSE,1.584
4165,US-2017-106131,TEC-AC-10003027,169.064,7,0.2,-14.7931,-0.0875,TRUE,24.152
4166,US-2017-106131,OFF-ST-10003638,168.624,9,0.2,14.7546,0.0875,FALSE,18.736
4910,CA-2017-127306,OFF-EN-10001219,18.336,3,0.2,6.6468,0.3625,FALSE,6.112
4911,CA-2017-127306,OFF-PA-10000019,36.288,7,0.2,12.7008,0.35,FALSE,5.184
4912,CA-2017-127306,TEC-PH-10001924,111.984,2,0.2,6.999,0.0625,FALSE,55.992
4913,CA-2017-127306,OFF-BI-10002003,5.97,5,0.7,-4.577,-0.766666667,TRUE,1.194
4914,CA-2017-127306,OFF-BI-10003727,2.508,2,0.7,-1.8392,-0.733333333,TRUE,1.254
6980,CA-2017-149076,OFF-PA-10000483,154.9,5,0,69.705,0.45,FALSE,30.98
9859,CA-2017-113278,OFF-ST-10001590,67.4,5,0,17.524,0.26,FALSE,13.48
9860,CA-2017-113278,OFF-FA-10003472,2.52,2,0,0.1008,0.04,FALSE,1.26
9861,CA-2017-113278,TEC-PH-10000169,67.8,4,0,1.356,0.02,FALSE,16.95
9862,CA-2017-113278,OFF-ST-10002562,18.76,2,0,5.2528,0.28,FALSE,9.38
9863,CA-2017-113278,TEC-AC-10001445,12.12,4,0,2.5452,0.21,FALSE,3.03
9864,CA-2017-113278,OFF-PA-10004156,11.34,1,0,5.5566,0.49,FALSE,11.34
9865,CA-2017-113278,TEC-AC-10004469,159.8,4,0,70.312,0.44,FALSE,39.95
9866,CA-2017-113278,FUR-FU-10001037,18.96,2,0,8.532,0.45,FALSE,9.48
2767,CA-2017-167752,OFF-AP-10000159,34.384,1,0.2,3.8682,0.1125,FALSE,34.384
2768,CA-2017-167752,OFF-AP-10002945,1924.16,8,0.2,312.676,0.1625,FALSE,240.52
3954,CA-2017-152961,OFF-PA-10004675,12.7,2,0,5.842,0.46,FALSE,6.35
5068,CA-2017-160934,OFF-AR-10003504,21.4,5,0,6.206,0.29,FALSE,4.28
6384,US-2017-104661,OFF-BI-10001597,32.784,4,0.8,-52.4544,-1.6,TRUE,8.196
6385,US-2017-104661,TEC-AC-10003628,47.984,2,0.2,14.3952,0.3,FALSE,23.992
6386,US-2017-104661,TEC-AC-10002331,62.592,8,0.2,13.3008,0.2125,FALSE,7.824
6387,US-2017-104661,OFF-BI-10001098,4.276,1,0.8,-6.6278,-1.55,TRUE,4.276
5272,CA-2017-125913,FUR-FU-10001487,27.92,4,0,8.0968,0.29,FALSE,6.98
5273,CA-2017-125913,FUR-TA-10001520,399.672,7,0.2,-14.9877,-0.0375,TRUE,57.096
6521,CA-2017-138289,OFF-BI-10004995,5443.96,4,0,2504.2216,0.46,FALSE,1360.99
6522,CA-2017-138289,FUR-CH-10004626,302.67,3,0,72.6408,0.24,FALSE,100.89
6523,CA-2017-138289,OFF-PA-10001260,56.07,7,0,25.2315,0.45,FALSE,8.01
1885,CA-2017-154718,OFF-LA-10003714,6,2,0.2,2.1,0.35,FALSE,3
9116,CA-2017-153045,TEC-PH-10001817,429.6,2,0.4,-93.08,-0.216666667,TRUE,214.8
9117,CA-2017-153045,FUR-FU-10002759,31.968,2,0.2,6.3936,0.2,FALSE,15.984
